GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
50486	0.0458	0.0000641	0.253	3.997186	1.0098437	654.82	G0S2	G0/G1 switch 2
1281	0.0458	0.0000529	1.746	4.042505	7.0584362	419.15	COL3A1	collagen type III alpha 1 chain
4060	0.0458	0.0000405	1.907	4.104491	7.826555	37.19	LUM	lumican
1293	0.0725	0.0001352	1.515	3.816735	5.7841104	226.96	COL6A3	collagen type VI alpha 3 chain
221785	0.3048	0.0007105	0.262	-3.385514	-0.8870031	3308.84	ZSCAN25	zinc finger and SCAN domain containing 25
7096	0.3995	0.0013039	0.83	-3.21513	-2.6679436	18.73	TLR1	toll like receptor 1
25987	0.3995	0.0012014	0.22	-3.238543	-0.7116499	1349.47	TSKU	tsukushi, small leucine rich proteoglycan
6348	0.5896	0.002199	0.385	-3.061948	-1.179179	412.23	CCL3	C-C motif chemokine ligand 3
9903	0.6004	0.0026341	0.665	-3.00749	-2.0001227	28.04	KLHL21	kelch like family member 21
10130	0.6004	0.0027993	0.158	2.988961	0.4709303	3500.6	PDIA6	protein disulfide isomerase family A member 6
1503	0.6037	0.0045035	0.206	-2.840556	-0.5857016	494.96	CTPS1	CTP synthase 1
820	0.6037	0.0033308	0.849	-2.935434	-2.491277	28.36	CAMP	cathelicidin antimicrobial peptide
26271	0.6037	0.0040976	0.471	2.870547	1.3510258	35.69	FBXO5	F-box protein 5
7184	0.6037	0.0043262	0.183	2.85334	0.5225268	6107.42	HSP90B1	heat shock protein 90 beta family member 1
79094	0.6037	0.0036031	0.671	-2.910965	-1.9540326	23.62	CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1
1536	0.6037	0.003869	0.416	-2.888647	-1.2011979	286.17	CYBB	cytochrome b-245 beta chain
10261	0.6557	0.0051965	0.287	-2.794592	-0.8025025	1132.94	IGSF6	immunoglobulin superfamily member 6
3303	0.6633	0.0055659	0.349	-2.772313	-0.9673184	133.54	HSPA1A	heat shock protein family A (Hsp70) member 1A
1263	0.6844	0.0060621	1.462	-2.744402	-4.0126498	5.86	PLK3	polo like kinase 3
5000	0.8001	0.0085793	0.561	-2.628379	-1.4747214	27.05	ORC4	origin recognition complex subunit 4
4069	0.8001	0.008322	0.357	-2.638718	-0.9428923	4466.08	LYZ	lysozyme
597	0.8001	0.0078291	0.336	-2.659354	-0.8937465	103.49	BCL2A1	BCL2 related protein A1
