GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
4318	3.38e-08	2.24e-11	0.223	-6.68938	-1.490362	3183.5	MMP9	matrix metallopeptidase 9
79689	4.31e-04	5.71e-07	0.701	-5.00066	-3.504373	60.97	STEAP4	STEAP4 metalloreductase
948	4.59e-03	1.22e-05	0.27	-4.3746	-1.183191	1536.54	CD36	CD36 molecule
7448	4.59e-03	1.09e-05	0.159	-4.39903	-0.697862	5698.84	VTN	vitronectin
84191	1.27e-02	4.22e-05	0.23	4.09509	0.940768	490.61	CIAO2A	cytosolic iron-sulfur assembly component 2A
5880	2.22e-02	8.81e-05	0.379	-3.92117	-1.484919	329.95	RAC2	Rac family small GTPase 2
3303	3.09e-02	1.43e-04	0.321	3.80218	1.221612	125.57	HSPA1A	heat shock protein family A (Hsp70) member 1A
2012	3.23e-02	1.92e-04	0.344	-3.7287	-1.28318	347.51	EMP1	epithelial membrane protein 1
811	3.23e-02	1.75e-04	0.168	-3.75294	-0.632316	8143.79	CALR	calreticulin
1843	4.56e-02	3.33e-04	0.306	3.58847	1.098328	1820.61	DUSP1	dual specificity phosphatase 1
8284	4.56e-02	3.09e-04	0.294	3.60789	1.059465	152.32	KDM5D	lysine demethylase 5D
9940	4.89e-02	4.21e-04	0.233	3.52651	0.822912	402.33	DLEC1	DLEC1 cilia and flagella associated protein
30	4.89e-02	4.21e-04	0.233	3.52651	0.822912	402.33	ACAA1	acetyl-CoA acyltransferase 1
6696	5.41e-02	5.34e-04	0.326	-3.4629	-1.130403	289.42	SPP1	secreted phosphoprotein 1
2316	5.41e-02	5.38e-04	0.208	-3.46131	-0.719942	859.5	FLNA	filamin A
84833	5.96e-02	6.32e-04	0.203	3.41757	0.695427	562.05	ATP5MK	ATP synthase membrane subunit k
2	8.28e-02	1.01e-03	0.22	-3.28755	-0.722497	9460.87	A2M	alpha-2-macroglobulin
8824	8.28e-02	1.01e-03	0.198	-3.2887	-0.652563	543.7	CES2	carboxylesterase 2
351	8.28e-02	1.04e-03	0.223	3.27878	0.731705	1790	APP	amyloid beta precursor protein
1429	8.63e-02	1.14e-03	0.227	3.25267	0.739749	960.24	CRYZ	crystallin zeta
26574	1.05e-01	1.46e-03	0.33	3.18214	1.048717	118.87	AATF	apoptosis antagonizing transcription factor
3101	1.20e-01	1.89e-03	0.406	-3.10699	-1.260801	118.99	HK3	hexokinase 3
3484	1.20e-01	1.89e-03	0.177	-3.10759	-0.549773	1020.7	IGFBP1	insulin like growth factor binding protein 1
1191	1.20e-01	1.90e-03	0.205	-3.10493	-0.635464	1495.3	CLU	clusterin
1244	1.26e-01	2.31e-03	0.164	3.047	0.498403	5606.75	ABCC2	ATP binding cassette subfamily C member 2
6288	1.26e-01	2.43e-03	0.165	-3.03185	-0.499493	2664.73	SAA1	serum amyloid A1
25987	1.26e-01	2.35e-03	0.187	3.04158	0.569911	1394.32	TSKU	tsukushi, small leucine rich proteoglycan
4361	1.26e-01	2.41e-03	0.188	3.03497	0.569849	304.06	MRE11	MRE11 homolog, double strand break repair nuclease
718	1.26e-01	2.25e-03	0.15	-3.05479	-0.459262	15939.73	C3	complement C3
3133	1.27e-01	2.60e-03	0.141	3.01144	0.424647	1124.34	HLA-E	major histocompatibility complex, class I, E
3107	1.27e-01	2.58e-03	0.242	-3.01335	-0.729036	365.75	HLA-C	major histocompatibility complex, class I, C
51338	1.31e-01	2.78e-03	0.273	-2.99151	-0.81696	298.46	MS4A4A	membrane spanning 4-domains A4A
