GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
2550	0.00604	0.00000278	1.464	4.6863425	6.8594092	9.94	GABBR1	gamma-aminobutyric acid type B receptor subunit 1
1293	0.00756	0.00000696	0.736	-4.4947636	-3.3063657	50.91	COL6A3	collagen type VI alpha 3 chain
1196	0.00785	0.00001084	0.21	4.3996077	0.9221623	283.19	CLK2	CDC like kinase 2
3303	0.01417	0.00002611	0.355	4.2049944	1.4912055	137.4	HSPA1A	heat shock protein family A (Hsp70) member 1A
1429	0.03393	0.0001099	0.192	3.8676309	0.7415584	1106.8	CRYZ	crystallin zeta
11188	0.03393	0.00013593	0.199	3.8154627	0.7588429	412.49	NISCH	nischarin
9481	0.03393	0.00014535	0.425	3.7988822	1.6147607	153.77	SLC25A27	solute carrier family 25 member 27
948	0.03393	0.00015628	0.298	-3.7808726	-1.1272155	1723.16	CD36	CD36 molecule
10398	0.03393	0.00009825	0.412	-3.8948685	-1.6051788	129.03	MYL9	myosin light chain 9
5880	0.03393	0.0001037	0.378	-3.8817563	-1.4663421	375.9	RAC2	Rac family small GTPase 2
1503	0.0373	0.00020768	0.205	3.709482	0.7620206	541.48	CTPS1	CTP synthase 1
7422	0.0373	0.00020354	0.18	3.7145803	0.6670271	1152.22	VEGFA	vascular endothelial growth factor A
2012	0.0373	0.00022334	0.355	-3.6910361	-1.30997	405.2	EMP1	epithelial membrane protein 1
2152	0.04476	0.00028866	0.602	-3.6252654	-2.1828912	80.55	F3	coagulation factor III, tissue factor
2180	0.04887	0.00033766	0.17	-3.5845528	-0.6084195	6122.6	ACSL1	acyl-CoA synthetase long chain family member 1
10673	0.07016	0.00054938	0.528	3.4554477	1.8237152	31.84	TNFSF13B	TNF superfamily member 13b
2316	0.07016	0.00052269	0.227	-3.4688531	-0.7878038	1020.83	FLNA	filamin A
84191	0.0946	0.0007843	0.196	3.3582772	0.657188	607.4	CIAO2A	cytosolic iron-sulfur assembly component 2A
79801	0.09682	0.00084736	0.741	-3.3368412	-2.4726299	17.58	SHCBP1	SHC binding and spindle associated 1
55599	0.10605	0.00097698	0.282	3.2970719	0.9297974	148.5	RNPC3	RNA binding region (RNP1, RRM) containing 3
1401	0.11702	0.00113198	0.287	-3.2554879	-0.9354638	2330.03	CRP	C-reactive protein
9214	0.14403	0.00145958	0.445	-3.1826013	-1.4164143	116.25	FCMR	Fc mu receptor
9592	0.15811	0.00167504	0.228	3.142514	0.7167083	416.83	IER2	immediate early response 2
4051	0.16512	0.00182535	0.452	3.1172691	1.4096822	51.88	CYP4F3	cytochrome P450 family 4 subfamily F member 3
51126	0.18751	0.00215931	0.469	3.0673983	1.4385792	69.05	NAA20	N-alpha-acetyltransferase 20, NatB catalytic subunit
5817	0.19	0.0022755	0.168	3.0516988	0.5122738	803.98	PVR	PVR cell adhesion molecule
1137	0.21085	0.00262233	0.529	3.0088561	1.5927017	62.2	CHRNA4	cholinergic receptor nicotinic alpha 4 subunit
79689	0.21699	0.00279862	1.412	-2.989033	-4.2211383	107.38	STEAP4	STEAP4 metalloreductase
84084	0.21983	0.00354396	0.377	2.9161358	1.099048	71.09	RAB6C	RAB6C, member RAS oncogene family
150786	0.21983	0.0034534	0.378	2.9242021	1.1047465	71.46	RAB6D	RAB6D, member RAS oncogene family
