GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3484	1.37e-25	6.76e-29	0.356	-11.15514	-3.975521	6123.65	IGFBP1	insulin like growth factor binding protein 1
57761	1.49e-21	1.48e-24	0.261	-10.22862	-2.672025	4001.77	TRIB3	tribbles pseudokinase 3
123	3.65e-18	5.42e-21	0.259	-9.40068	-2.433962	33292.17	PLIN2	perilipin 2
1649	1.72e-15	3.41e-18	0.26	-8.69707	-2.25732	662.08	DDIT3	DNA damage inducible transcript 3
2730	5.38e-15	1.33e-17	0.296	-8.54106	-2.524868	5983.22	GCLM	glutamate-cysteine ligase modifier subunit
9518	3.08e-14	9.16e-17	0.364	-8.31523	-3.029829	4393.19	GDF15	growth differentiation factor 15
1581	3.76e-14	1.30e-16	0.426	8.27325	3.528098	213.5	CYP7A1	cytochrome P450 family 7 subfamily A member 1
2690	2.74e-13	1.09e-15	0.306	8.01683	2.455791	592.77	GHR	growth hormone receptor
23764	8.78e-13	3.91e-15	0.338	-7.85774	-2.652155	469.85	MAFF	MAF bZIP transcription factor F
6351	1.13e-12	5.59e-15	0.583	7.81278	4.551454	165.63	CCL4	C-C motif chemokine ligand 4
1978	3.46e-12	1.88e-14	0.201	-7.65828	-1.540161	2234.27	EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1
3934	1.26e-11	7.50e-14	0.403	-7.47885	-3.013558	182.01	LCN2	lipocalin 2
2168	4.17e-11	2.68e-13	0.26	-7.30958	-1.896983	76350.33	FABP1	fatty acid binding protein 1
374	4.86e-11	3.36e-13	0.436	-7.27897	-3.173862	295.4	AREG	amphiregulin
3250	2.75e-10	2.04e-12	0.335	7.03174	2.354601	1447.38	HPR	haptoglobin-related protein
2919	2.82e-10	2.23e-12	0.264	7.01898	1.852131	1475.85	CXCL1	C-X-C motif chemokine ligand 1
3240	5.29e-10	4.45e-12	0.211	6.92216	1.462161	2192.13	HP	haptoglobin
124	5.06e-09	4.51e-11	0.319	6.58639	2.099007	10921.48	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide
2247	8.77e-09	8.24e-11	0.284	-6.49612	-1.846643	374	FGF2	fibroblast growth factor 2
10864	1.04e-08	1.03e-10	0.253	6.46275	1.636696	1532.23	SLC22A7	solute carrier family 22 member 7
29968	1.14e-08	1.18e-10	0.278	-6.44177	-1.790306	540.27	PSAT1	phosphoserine aminotransferase 1
55129	1.24e-08	1.35e-10	0.303	-6.42097	-1.947182	377.77	ANO10	anoctamin 10
51703	1.34e-08	1.52e-10	0.194	-6.40336	-1.23915	1485.94	ACSL5	acyl-CoA synthetase long chain family member 5
3122	1.57e-08	1.87e-10	0.372	6.37182	2.370692	694.45	HLA-DRA	major histocompatibility complex, class II, DR alpha
211	2.52e-08	3.36e-10	0.19	-6.28103	-1.191015	1510.92	ALAS1	5'-aminolevulinate synthase 1
